region,Employment Rate,Unemployment Rate,Year
Babergh,61.06,3.32,2011
Basildon,63.8,4.65,2011
Bedford,63.42,4.5,2011
Braintree,61.68,4.45,2011
Breckland,58.88,3.96,2011
Brentwood,64.81,3.3,2011
Broadland,60.3,3.04,2011
Broxbourne,62.37,4.69,2011
Cambridge,66.26,1.99,2011
Castle Point,50.51,4.71,2011
Central Bedfordshire,61.74,4.22,2011
Chelmsford,66.19,3.52,2011
Colchester,62.6,3.52,2011
Dacorum,65.39,3.94,2011
East Cambridgeshire,63.13,3.65,2011
East Hertfordshire,64.98,3.31,2011
Epping Forest,59.85,4.25,2011
Fenland,59.21,4.66,2011
Forest Heath,70.17,3.11,2011
Great Yarmouth,56.22,6.18,2011
Harlow,65.9,5.24,2011
Hertsmere,65.22,3.87,2011
Huntingdonshire,65.78,3.48,2011
Ipswich,66.8,5.05,2011
King's Lynn and West Norfolk,60.0,3.79,2011
Luton,58.68,5.71,2011
Maldon,58.56,3.62,2011
Mid Suffolk,64.25,2.83,2011
North Hertfordshire,63.8,3.98,2011
North Norfolk,55.9,3.49,2011
Norwich,66.14,3.97,2011
Peterborough,67.3,4.6,2011
Rochford,55.63,3.95,2011
South Cambridgeshire,70.35,2.43,2011
South Norfolk,63.21,2.93,2011
Southend-on-Sea,59.63,5.36,2011
St Albans,64.98,3.02,2011
St Edmundsbury,67.94,2.97,2011
Stevenage,67.97,4.64,2011
Suffolk Coastal,62.5,2.84,2011
Tendring,49.65,5.24,2011
Three Rivers,63.77,3.69,2011
Thurrock,60.72,6.13,2011
Uttlesford,68.94,2.7,2011
Watford,69.41,3.84,2011
Waveney,56.03,4.8,2011
Welwyn Hatfield,67.0,2.77,2011
Bedford,63.42,4.5,2011
Central Bedfordshire,61.74,4.22,2011
Luton,58.68,5.71,2011
Peterborough,67.3,4.6,2011
Southend-on-Sea,59.63,5.36,2011
Thurrock,60.72,6.13,2011
Cambridge,66.26,1.99,2011
East Cambridgeshire,63.13,3.65,2011
Fenland,59.21,4.66,2011
Huntingdonshire,65.78,3.48,2011
South Cambridgeshire,70.35,2.43,2011
Basildon,63.8,4.65,2011
Braintree,61.68,4.45,2011
Brentwood,64.81,3.3,2011
Castle Point,50.51,4.71,2011
Chelmsford,66.19,3.52,2011
Colchester,62.6,3.52,2011
Epping Forest,59.85,4.25,2011
Harlow,65.9,5.24,2011
Maldon,58.56,3.62,2011
Rochford,55.63,3.95,2011
Tendring,49.65,5.24,2011
Uttlesford,68.94,2.7,2011
Broxbourne,62.37,4.69,2011
Dacorum,65.39,3.94,2011
East Hertfordshire,64.98,3.31,2011
Hertsmere,65.22,3.87,2011
North Hertfordshire,63.8,3.98,2011
St Albans,64.98,3.02,2011
Stevenage,67.97,4.64,2011
Three Rivers,63.77,3.69,2011
Watford,69.41,3.84,2011
