region,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications,Other qualifications
South West,902561,592963,713983,186398,575085,1193337,194930
Wales,650517,332943,393819,98843,308171,614116,108751
East,1067449,693576,769520,177366,557318,1218862,254242
East Midlands,914014,512492,575351,149078,477203,871702,194927
North West,1419620,777561,905338,225633,740829,1399038,259610
North East,565208,291852,335926,101328,279693,473382,87060
South East,1333955,946056,1110706,253423,892915,2093693,361918
West Midlands,1196794,616225,695544,150353,553600,1050404,244485
Yorkshire and The Humber,1104692,581029,662318,181690,547480,998718,210014
London,1152517,702687,775928,107665,685508,2470225,654643
