region,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications,Other qualifications
South East,1162221.0,739122.0,1046800.0,386759.0,1313552.0,2702048.0,204078.0
South West,741183.0,465970.0,678280.0,283597.0,876607.0,1566774.0,123429.0
Wales,509682.0,223025.0,367360.0,143316.0,440652.0,806773.0,68608.0
West Midlands,1015300.0,494710.0,666695.0,253185.0,818973.0,1413723.0,138740.0
Yorkshire and The Humber,919640.0,449065.0,607396.0,273719.0,777070.0,1315456.0,117953.0
North West,1174699.0,583083.0,819133.0,353909.0,1061950.0,1880049.0,152812.0
North East,442379.0,208919.0,301648.0,144765.0,404417.0,622419.0,54413.0
London,1151250.0,545269.0,707518.0,227622.0,937875.0,3316829.0,217622.0
East Midlands,778906.0,415084.0,556046.0,239223.0,731371.0,1163784.0,113631.0
East,932209.0,554976.0,742611.0,284157.0,863162.0,1625376.0,145790.0
