region,Year,PC1,PC2
South West,2011,-0.02655995738063425,-0.011440432701361138
Wales,2011,-0.0737100073961003,-0.01724691321956564
East,2011,-0.05353608781264832,-0.027474363114940108
East Midlands,2011,-0.07614753471818853,-0.013223398459165888
North West,2011,-0.06890481386347919,-0.012099577482960016
North East,2011,-0.09455089113537246,-0.001897216349284904
South East,2011,0.0018576028934708215,-0.025463225262841113
West Midlands,2011,-0.08735551156288662,-0.022418705221605332
Yorkshire and The Humber,2011,-0.08232133675386381,-0.011946343921484049
London,2011,0.08010729392149621,-0.08795292010702621
South East,2021,0.08805490091204139,0.01825892769723056
South West,2021,0.06592330202475785,0.03791577628554056
Wales,2021,0.03406003185005218,0.027784401496942657
West Midlands,2021,0.007901622907828665,0.02535766636456721
Yorkshire and The Humber,2021,0.012676883498508264,0.0331328064979646
North West,2021,0.03312898279398087,0.0313619397283024
North East,2021,0.00929451108025859,0.048303597208879626
London,2021,0.17856274431528937,-0.05303298377378851
East Midlands,2021,0.014722433326215895,0.04038771284032354
East,2021,0.036795831099274603,0.021693251494271926
